"doi","article_id","title","year","pdf_file","xml_file","pdf_exists","xml_exists","in_rds","grobid_version","conversion_date","license"
"10.1177/2041669517701947","2041669517701947","Estimating the Illumination Direction From Three-Dimensional Texture of Brownian Surfaces",2017,"pdf/iperc.2041669517701947.pdf","xml/iperc.2041669517701947.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517743521","2041669517743521","Action Recognition in a Crowded Environment",2017,"pdf/iperc.2041669517743521.pdf","xml/iperc.2041669517743521.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517740370","2041669517740370","Depth Without a Surface: Observations From a “Finger Spinner” Depth Illusion",2017,"pdf/iperc.2041669517740370.pdf","xml/iperc.2041669517740370.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517742178","2041669517742178","Curvature Blindness Illusion",2017,"pdf/iperc.2041669517742178.pdf","xml/iperc.2041669517742178.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517705447","2041669517705447","Diagnosing the Periphery: Using the Rey–Osterrieth Complex Figure Drawing Test to Characterize Peripheral Visual Function",2017,"pdf/iperc.2041669517705447.pdf","xml/iperc.2041669517705447.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517723653","2041669517723653","The Impact of Face Inversion on Animacy Categorization",2017,"pdf/iperc.2041669517723653.pdf","xml/iperc.2041669517723653.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669518796851","2041669518796851","The Power of Shape: How Shape of Node-Link Diagrams Impacts Aesthetic Appreciation and Triggers Interest",2018,"pdf/iperc.2041669518796851.pdf","xml/iperc.2041669518796851.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669518776986","2041669518776986","Blindness to Curvature and Blindness to Illusory Curvature",2018,"pdf/iperc.2041669518776986.pdf","xml/iperc.2041669518776986.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669518799763","2041669518799763","Relationship of Depth Adaptation Between Disparity-Specified Plaids and Their Components",2018,"pdf/iperc.2041669518799763.pdf","xml/iperc.2041669518799763.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669518774806","2041669518774806","View From Outside the Viewing Sphere",2018,"pdf/iperc.2041669518774806.pdf","xml/iperc.2041669518774806.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669518797392","2041669518797392","An Introduction to the Special Issue “Seeing Colors”",2018,"pdf/iperc.2041669518797392.pdf","xml/iperc.2041669518797392.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669518776984","2041669518776984","Human Echolocation for Target Detection Is More Accurate With Emissions Containing Higher Spectral Frequencies, and This Is Explained by Echo Intensity",2018,"pdf/iperc.2041669518776984.pdf","xml/iperc.2041669518776984.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669518819511","2041669518819511","Jump Across the Gap! A New Type of Colour Spreading Illusion",2018,"pdf/iperc.2041669518819511.pdf","xml/iperc.2041669518819511.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669518795932","2041669518795932","Chasing Animals With Split Attention: Are Animals Prioritized in Visual Tracking?",2018,"pdf/iperc.2041669518795932.pdf","xml/iperc.2041669518795932.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669518787212","2041669518787212","The Influence of Physical Illumination on Lightness Perception in Simultaneous Contrast Displays",2018,"pdf/iperc.2041669518787212.pdf","xml/iperc.2041669518787212.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669518815709","2041669518815709","Effects of the Simultaneous Presentation of Corresponding Auditory and Visual Stimuli on Size Variance Perception",2018,"pdf/iperc.2041669518815709.pdf","xml/iperc.2041669518815709.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
